"time","scramble","date"
01:09.400,B' U' F2 R U' B' D L2 U F L D2 F' R2 D2 F' R2 F2,2020-06-06 11:09:00 UTC
01:32.217,R2 F2 R' D2 L' R2 B2 R F2 D' L' U2 B F2 D U2 R U' L2 F',2020-06-06 11:12:00 UTC
01:11.135,U2 R2 D2 B F2 D2 F2 R2 U2 L' U L' R2 U F' D2 U R F2 U,2020-06-06 11:22:00 UTC
01:13.378,D R' F' L' U2 R D R2 B' U' F2 R2 F' L2 F R2 U2 R2 F' L2 B',2020-06-06 14:52:00 UTC
01:20.230,F' R F2 B2 L U' F B L F' U2 R' D2 R2 L D2 R' F2 D2 L,2020-06-06 15:01:00 UTC
00:52.911,L2 B' L2 D2 U2 B2 D2 R2 B' L' F' R' U' R' D F' L2 F D2,2020-06-06 15:03:00 UTC
01:14.312,R2 U F2 R2 F2 D' L2 D B2 F2 L F U2 B' D2 L' B' U' R2 F2,2020-06-06 15:05:00 UTC
01:28.680,R2 L2 B2 U2 R B U' F' U' L' F' U2 B' R2 B' R2 U2 F',2020-06-06 15:07:00 UTC
01:16.099,U2 L2 D L2 R2 U' F2 D U2 L2 R' F2 U F' U2 F D R' D,2020-06-06 15:09:00 UTC
01:05.052,D2 R' U' L D' L2 B R F' U D2 B2 L' D2 R U2 R2 U2 R2 L',2020-06-06 15:18:00 UTC
00:55.287,F' L2 B' U2 B' R2 D2 R2 D R F L2 R2 F' U' L2 U' L' F2,2020-06-06 15:20:00 UTC
01:00.243,B2 F' L2 F' R2 F' D2 R2 U L' R U L' D' F' U R2 D2 B',2020-06-06 15:26:00 UTC
01:36.968,L2 B U2 R U D L U' B2 R' F B2 D L2 B2 U' L2 D2,2020-06-06 15:29:00 UTC
01:11.255,D2 L F2 L F2 R U2 L B2 D L' D' B L2 D' U2 L2 D2 L,2020-06-06 15:31:00 UTC
00:56.809,B2 R' U2 D' F D' B2 D B2 U F2 D2 L2 B R2 F' U2 B,2020-06-06 15:33:00 UTC
00:58.990,F2 D' U B2 D' F2 R2 U2 R F' L' D F U2 B R B' F L2,2020-06-06 15:40:00 UTC
01:11.496,R2 L D' B' R2 L U2 R' F D2 L D2 R F2 D2 L' D2 R2 U2,2020-06-06 15:43:00 UTC
01:06.716,D' R2 D B' U' B2 L' F' U' L U2 B' U2 F2 U2 L2 F2 R2 F,2020-06-06 15:49:00 UTC
01:37.412,D U2 F2 D R2 D2 L2 U' R2 B' R2 D F U2 F L2 R' D L,2020-06-06 15:54:00 UTC
01:05.318,F2 D2 R2 B L2 B2 U2 F' U2 F L F D U2 L D L R' U2 F',2020-06-06 15:56:00 UTC
01:11.337,F' B2 R2 D R B L D' R' F' B2 U2 R2 L F2 B2 U2 R' U2 D2 R,2020-06-06 18:02:00 UTC
01:07.539,D R F D2 B' L2 D' R2 U' D2 L2 D2 F B2 L2 B' U2 L2 F' D2,2020-06-06 18:04:00 UTC
01:29.990,R2 B R2 F D2 L2 F2 R2 F' R' B' R B' R' F2 D' F U2 F2,2020-06-06 18:06:00 UTC
01:14.217,U2 R' B2 F2 U2 B2 R D2 L D B F D B U B' L' B2 L' R,2020-06-06 18:08:00 UTC
01:08.298,U' R2 B2 U2 F2 U2 F2 U R' D L2 B2 U' B2 L' R2 U B F,2020-06-06 18:10:00 UTC
01:10.385,B' F D2 U2 L2 F U2 F' U2 L D L D' F' U2 F2 U B L' B',2020-06-06 18:12:00 UTC
01:17.034,U' F2 U B2 F2 D F2 D' U2 R' B R2 D U F2 L F2 L2 F L2,2020-06-06 18:15:00 UTC
01:10.721,D2 B2 R2 U2 F2 L F2 L2 F2 R' B2 D' R D F' R2 D R B U2,2020-06-06 18:18:00 UTC
01:16.897,U2 R F2 L F2 U2 F2 R D' B' L' F' U F2 D' B2 L' U',2020-06-06 18:20:00 UTC
01:24.549,D2 B U' L' B' R B2 U B' U R2 D2 R2 U B2 D R2 D' R2 U2,2020-06-06 18:22:00 UTC
01:19.579,R2 F2 U' R2 B2 U' F' D' B R' U' F2 U B2 R' U B U2,2020-06-06 18:24:00 UTC
01:14.921,B2 D2 R2 F U2 F' R2 F U2 B' L' D2 U' B2 U' B' R2 F2 U,2020-06-06 18:26:00 UTC
01:08.835,U L2 D R U2 F L' U2 R2 B D' F2 R2 F2 R2 U2 B' L2 F',2020-06-06 18:28:00 UTC
01:27.298,B' F2 R2 B' R2 U2 R2 D2 L' F' U B D F2 D' U R U2 F2,2020-06-06 18:31:00 UTC
01:06.617,D2 B U2 L2 D2 F L2 F' R2 B2 U' R2 B' U F L' U R2 B' U2,2020-06-06 18:33:00 UTC
01:16.597,D2 R2 D L2 R2 D2 R2 F2 D U2 L' B' U2 F2 L B2 U2 R' B2 U,2020-06-06 18:35:00 UTC
01:19.533,U2 B' F2 R2 F D2 F2 D2 L2 U' L B' D' U' B L F2 U2 B' R,2020-06-06 18:40:00 UTC
01:15.978,U2 F U2 L2 B2 D2 F U2 L' B' R2 D U' L B' R' D2 U2 F',2020-06-06 19:01:00 UTC
01:05.044,B2 R' D2 F U F2 D2 F B2 U R' U2 F2 L D2 L' U2,2020-06-06 19:06:00 UTC
01:23.006,D2 R2 D' F2 D2 L2 U' L2 B U2 F' D2 B L2 D' R2 D' R U',2020-06-06 19:11:00 UTC
01:16.633,F' U2 B2 F R2 U2 F' R2 U2 L' B2 R' U B' L2 D2 L,2020-06-06 20:17:00 UTC
01:08.173,D2 R2 U' F2 R2 U' L2 U R2 D R F' L F U' F R B2 R' U,2020-06-06 20:19:00 UTC
01:05.897,R' L2 U' R F' B2 D L2 D R F B2 R2 U L2 U R2 F2 U,2020-06-06 20:21:00 UTC
01:13.100,D2 R2 D' B2 R2 U' R2 D L2 R' U2 B2 R' F U' F' D F2 U2,2020-06-06 20:24:00 UTC
00:52.938,R' B2 L' D' B' D' R U2 B L' B R2 L2 F2 R2 D2 F' U2 F2,2020-06-06 20:26:00 UTC
00:57.683,F2 R2 F2 R U2 R2 B2 D2 R' F' L U2 B U2 R F2 U' B R D',2020-06-06 20:28:00 UTC
00:58.341,R2 B' U' F2 U2 R B' D B' U' F U D B2 L2 U L2 D2,2020-06-06 20:31:00 UTC
01:27.513,L2 B' L2 R2 B2 L2 B' D L2 D' F2 L' R' D' B2 F2 L F',2020-06-06 20:34:00 UTC
01:23.341,U L2 D' B2 F2 D' L2 F' D B2 D2 R2 U' B L R B' F,2020-06-06 20:37:00 UTC
01:17.929,B2 F2 L' B2 L' U2 L' D2 R B F2 U' B D2 L D2 F2 L' B,2020-06-06 20:39:00 UTC
01:08.415,R2 B2 U2 B' R2 B D2 F R2 F D' R B2 U2 B' F' L B2 L B,2020-06-06 23:11:00 UTC
01:30.395,B2 R2 D B2 D R2 U' F2 U' F2 L R' U' F' L' B' D F L2 D',2020-06-06 23:14:00 UTC
01:11.949,R' B2 D2 F2 R B2 R B2 D2 B2 R U' R F D' U' L2 D2 U' F',2020-06-06 23:16:00 UTC
01:06.178,B F' U2 R2 U2 F' L2 F' U2 F2 R' B' L2 D F2 L U B2 U2 F,2020-06-06 23:18:00 UTC
01:17.502,U' R' F U' F2 R' D F' U' F2 U' L2 B2 R2 D2 R2 B L2,2020-06-06 23:21:00 UTC
01:04.379,F2 U' F2 U R2 U2 F2 L2 U L' U2 L' F L2 F' D' F2 U R',2020-06-08 15:01:00 UTC
01:27.072,F2 L2 U' L2 D L2 B2 F U2 F' D' B2 D' B' R' B' L B2,2020-06-08 15:03:00 UTC
01:24.714,B2 L2 B2 R2 U' L2 D' R2 U B' L' F' D2 B U L2 D' B L R2,2020-06-08 15:05:00 UTC
01:14.662,R' U2 L' B2 L R2 B2 R U B R D2 U R' B2 R2 U' L R,2020-06-08 15:14:00 UTC
01:06.806,R L' B R' B2 D2 B' L' U F2 L D' F2 U' B2 R2 B2 L2 D2,2020-06-08 15:16:00 UTC
01:11.024,B2 D2 B U F L F B2 R2 D' F2 L2 F' D2 F R2 F2 L2 B2,2020-06-08 15:23:00 UTC
01:06.451,U2 F2 D R2 D' L2 U2 B2 R F' L2 D' U' L' B' R' F2 D L R2,2020-06-08 15:25:00 UTC
01:10.899,F B R' U2 D2 B' D L2 B' R' D' R2 F2 U R2 F2 U' F2 D,2020-06-08 15:27:00 UTC
01:20.198,F2 U2 L' U2 R B2 D2 R' D2 R2 B U L' D U' B2 F' L F2 U',2020-06-08 17:51:00 UTC
01:16.965,D2 F' B U' B2 R F D B2 U2 F' U' B2 U' D F2 L2 U F2,2020-06-08 17:53:00 UTC
